"AXX","AYY","AZZ","ACC_TOTAL"
"-121","818","144","839.3455784121342"
"-62","729","155","747.8703096125691"
"-14","624","219","661.4627729509803"
"49","567","275","632.0719895708083"
"31","571","228","615.6183882893688"
"-81","531","112","548.6948149928155"
"-85","604","142","626.262724421628"
"-79","737","150","756.2473140448169"
"-161","853","198","890.3561085318615"
"-319","797","182","877.5499985755797"
"-456","773","151","910.0912042207638"
"-727","769","143","1067.8665646980432"
"-917","762","195","1208.121682613138"
"-1214","752","181","1439.465525811577"
"-1385","729","250","1584.9813879033406"
"-1096","790","43","1351.7266735549758"
"-807","796","-70","1135.6782114666107"
"-774","734","8","1066.7220818938736"
"-846","703","69","1102.1279417563098"
"-854","666","95","1087.1508634959548"
"-806","676","103","1056.986754883901"
"-787","665","72","1032.8494566005252"
"-749","673","91","1011.0445094059905"
"-710","685","96","991.2320616283555"
"-716","686","84","995.1422008939224"
"-682","713","92","990.9374349574246"
"-663","733","85","992.0095765666781"
"-675","733","76","999.3447853468791"
"-677","722","59","991.5109681692886"
"-700","707","45","995.9287123082655"
"-724","697","39","1005.7365460198808"
"-739","700","52","1019.2276487615512"
"-695","716","57","999.4648568108836"
"-685","737","72","1008.7507125152379"
"-719","742","61","1035.010144877817"
"-741","768","43","1068.0608596891846"
"-758","847","67","1138.622852396701"
"-684","932","69","1158.1195965875027"
"-617","960","310","1182.5349889115332"
"-374","1367","940","1700.636645494857"
"-9","1704","1273","2127.0228019464203"
"-24","1872","1441","2362.5073544859074"
"-24","1872","1441","2362.5073544859074"
"-17","1899","1252","2274.6415102165"
"-103","1685","1044","1984.8853871193671"
"-148","1355","805","1583.0205305048953"
"-158","1025","585","1190.7199502821811"
"-185","676","402","807.9634892741132"
"-246","372","224","499.0751446425678"
"-290","169","114","354.4813112140046"
"-374","54","84","387.10205372743764"
"-501","53","52","506.4721117692464"
"-673","73","35","677.8517537043037"
"-836","83","0","840.1101118305862"
"-662","279","108","726.4633507617573"
"-730","627","92","966.6917812829486"
"-481","1334","407","1475.3189485667158"
"-670","1001","-43","1205.3007923335983"
"-809","1096","-156","1371.1429538891996"
"-814","1073","-128","1352.8891307124911"
"-768","1057","-124","1312.4210452442462"
"-725","1011","-10","1244.1245918315417"
"-682","1004","47","1214.6394526772133"
"-655","975","82","1177.4438415482923"
"-652","969","91","1171.4717239438603"
"-623","988","88","1171.331293870355"
"-610","991","96","1167.645922358315"
"-583","992","83","1153.6212550052985"
"-558","989","44","1136.40705735225"
"-569","994","26","1145.6321399122844"
"-604","987","47","1158.0993048957416"
"-649","999","53","1192.4810271027377"
"-711","1050","11","1268.1253881221683"
"-823","1057","-23","1339.8160321476976"
"-936","1111","-25","1452.9425315545002"
"-1053","1164","-38","1570.0792973604869"
"-1150","1216","87","1675.9251176589007"
"-881","1314","211","1596.019423440705"
"-558","1407","265","1536.6320314245697"
"-380","1119","200","1198.5662267893251"
"-100","759","204","792.2733114273129"
"-171","385","35","422.71858251087093"
"-225","97","-71","255.09802037648194"
"-158","26","-47","166.88019654830228"
"-106","-6","5","106.28734637763802"
"-113","38","6","119.36917525056458"
"-143","157","-32","214.760331532618"
"-141","328","-11","357.19182521440774"
"-122","584","132","611.035187202832"
"-162","944","357","1022.1687727572194"
"-304","1299","638","1478.8039085693545"
"-382","1622","964","1925.1244115640943"
"-476","1763","1220","2196.1659773341357"
"-215","1902","1630","2514.1060041294995"
"-1070","1131","1169","1946.9519768088785"
"-1016","945","190","1400.4931274376179"
"-882","878","86","1247.479057940453"
"-662","909","83","1127.5699534840398"
"-511","842","122","992.4560443667015"
"-390","846","64","933.7622823824059"
"-482","814","73","948.8145234976117"
"-564","811","-32","988.3526698501906"
"-644","794","-59","1024.0375969660488"
"-686","799","20","1053.2791652738604"
"-649","805","36","1034.6603307366142"
"-633","815","31","1032.4122238718408"
"-663","787","39","1029.785900078264"
"-661","794","43","1034.024177667041"
"-679","762","32","1021.1312354442988"
"-679","762","32","1021.1312354442988"
"-694","720","44","1000.9855143807027"
"-696","681","39","974.5244994354939"
"-669","680","29","954.3594710589925"
"-691","659","41","955.7421200302936"
"-749","606","51","964.7994610280418"
"-807","604","48","1009.1427054683594"
"-792","621","31","1006.9091319478636"
"-794","645","21","1023.1822906989742"
"-836","655","20","1062.2245525311491"
"-927","701","-3","1162.2129753190677"
"-1052","820","-83","1336.4104908298198"
"-1329","971","-171","1654.7879018170274"
"-1400","787","-201","1618.5703568272836"
"-1161","789","-124","1409.1905477968548"
"-837","743","-7","1119.2260718907507"
"-479","731","85","878.0814313034982"
"-230","759","126","803.0298873641005"
"-77","763","153","781.9891303592398"
"-34","638","215","674.1105250624707"
"57","588","225","632.1534623807735"
"131","608","245","668.4683986547158"
"129","634","267","699.9185666918688"
"91","680","256","732.2683934186973"
"54","722","225","758.1721440411801"
"-77","714","139","731.4683861931424"
"-327","754","228","852.8944835089509"
"-597","823","308","1062.3568138812873"
"-775","768","261","1121.860062574651"
"-899","719","165","1162.9217514519196"
"-1196","728","154","1408.5865255638362"
"-1387","892","-264","1670.068561466864"
"-1282","812","-209","1531.8449660458464"
"-822","725","-149","1106.1238628652761"
"-678","724","-152","1003.4759588550191"
"-770","702","-7","1041.9947216756907"
"-795","674","52","1043.5540235177093"
"-785","676","48","1037.0655716973733"
"-763","689","17","1028.1921026734256"
