AXX;AYY;AZZ;ACC_TOTAL
756;-693;145;1035.765417
763;-694;177;1046.486503
740;-705;171;1036.27506
738;-707;147;1032.522155
756;-695;83;1030.266956
820;-730;108;1103.160913
753;-847;111;1138.744484
673;-1033;62;1234.448055
733;-1058;212;1304.452759
270;-1446;643;1605.386246
-208;-1743;1094;2068.368681
-360;-1891;1166;2250.563707
-414;-1764;1062;2100.222845
-331;-1421;809;1668.317416
-199;-894;445;1018.264209
-76;-367;123;394.4540531
20;42;-77;89.96110271
112;264;-110;307.1481727
233;277;-56;366.2703919
364;158;21;397.367588
562;-32;41;564.4014529
725;-387;96;827.4116267
1321;-1213;272;1813.944321
1595;-1084;168;1935.795702
1210;-1561;-128;1979.193017
1357;-1800;-191;2262.284244
1577;-1533;-236;2211.94801
1010;-1252;-12;1608.647879
848;-799;188;1180.190239
782;-780;244;1131.132176
772;-717;274;1088.645489
650;-771;270;1043.954501
626;-804;260;1051.613998
613;-803;239;1038.122825
627;-797;233;1040.493633
652;-769;242;1036.836053
665;-760;257;1042.052782
635;-755;255;1018.957801
650;-739;223;1009.133291
714;-704;192;1020.919194
724;-724;206;1044.407966
760;-718;201;1064.671311
853;-813;180;1192.047818
992;-1065;247;1476.24456
1083;-1471;178;1835.32395
1286;-1623;103;2073.290621
1482;-1444;41;2069.575077
1266;-1009;103;1622.173234
1266;-1009;103;1622.173234
961;-644;8;1156.858245
993;31;-186;1010.74527
945;433;-249;1068.884933
737;393;-196;857.9242391
428;43;-62;434.5998159
207;-437;149;505.9832013
-43;-864;566;1033.779957
-218;-1276;850;1548.612282
-351;-1589;919;1868.87212
-544;-1699;1147;2120.883307
-622;-1869;1397;2414.881778
-60;-1667;576;1764.728024
716;-1064;-45;1283.268094
605;-1113;182;1279.811705
562;-944;210;1118.516875
507;-861;232;1025.76508
510;-799;277;987.5373411
516;-772;243;959.8380072
476;-833;248;990.9434898
590;-846;243;1059.653245
631;-870;250;1103.431466
600;-825;277;1057.049668
600;-806;226;1029.908734
639;-799;203;1043.039309
685;-778;220;1059.674006
714;-761;263;1076.144042
740;-729;298;1080.668774
733;-727;273;1067.87031
731;-726;252;1060.632359
739;-712;253;1056.917215
710;-731;212;1040.867427
681;-748;194;1030.000485
655;-730;203;1001.565774
720;-777;248;1087.948988
784;-945;217;1246.904166
996;-1100;285;1511.039708
1292;-1257;244;1819.024189
1173;-1345;197;1795.484057
1086;-1314;96;1707.39802
840;-1097;111;1386.120485
467;-900;283;1052.700337
123;-596;380;717.4573158
-213;-500;475;721.799141
-367;-436;505;761.4525593
-488;-321;513;777.4020839
-654;-340;507;894.6312089
-762;-316;492;960.5019521
-776;-286;484;958.2421406
-722;-192;453;873.7030388
-734;-192;470;892.4796916
-497;-311;380;698.6630089
46;-583;331;671.986607
802;-907;231;1232.563994
1177;-1228;397;1746.688868
1227;-1340;377;1855.601789
965;-1333;126;1650.451453
1258;-1361;38;1853.7338
897;-1231;75;1524.990164
792;-903;205;1218.481842
778;-768;259;1123.471851
720;-750;318;1087.209271
720;-750;318;1087.209271
680;-754;274;1051.661543
678;-761;273;1055.146435
681;-782;277;1073.319151
669;-797;262;1073.039608
656;-784;212;1044
709;-754;206;1055.288112
665;-754;181;1021.519456
688;-710;230;1015.058619
712;-678;226;1008.813164
757;-667;199;1028.367152
773;-662;175;1032.665483
797;-641;180;1038.503731
834;-682;158;1088.872812
828;-703;215;1107.256971
788;-662;238;1056.329494
728;-643;199;991.4807109
707;-648;164;972.9588892
787;-684;137;1051.662493
818;-785;114;1139.449428
862;-946;31;1280.203499
993;-1056;17;1449.646164
975;-1154;81;1512.911762
777;-1162;228;1416.318114
55;-1482;749;1661.430107
-407;-1636;1200;2069.334434
-609;-1613;1182;2090.40044
-724;-1425;979;1874.364426
-711;-1165;716;1541.233921
-563;-806;342;1040.946204
-431;-325;75;544.9871558
-260;97;-95;293.3155298
-116;324;-129;367.5227884
143;336;-148;394.0164971
365;222;-119;443.4749147
248;-185;131;335.9910713
708;-1112;611;1452.97247
1374;-931;305;1687.501704
1641;-1207;208;2047.680151
1262;-1260;-14;1783.378816
1392;-1014;-105;1725.365179
1328;-1153;76;1760.332071
989;-1064;58;1453.816013
772;-873;153;1175.38164
706;-757;281;1072.588458
715;-736;334;1079.109355
685;-751;293;1057.863413
637;-772;258;1033.594214
630;-785;268;1041.608852
609;-780;241;1018.509696
595;-784;223;1009.16302
603;-792;216;1018.591675
626;-777;232;1024.416419
658;-742;236;1019.423366
672;-763;214;1039.013474
725;-768;221;1079.022706
800;-852;245;1194.122691
885;-1079;238;1415.665921
1143;-1283;225;1732.963646
1342;-1512;123;2025.397986
1494;-1507;14;2122.093542
1321;-1126;-25;1735.955645
1321;-1126;212;1748.674069
825;-945;212;1272.239757
858;-309;-76;915.1070976
876;313;18;930.413349
700;429;-4;821.0097442
464;311;31;559.4443672
270;-86;81;294.7151167
90;-503;353;621.0619937
-141;-906;701;1154.174164
-279;-1273;878;1571.386012
-326;-1502;889;1775.556532
-272;-1525;841;1762.637229
-229;-1410;1039;1766.369723
-45;-1586;1144;1956.056492
428;-1451;408;1566.859598
875;-958;78;1299.797292
698;-940;188;1185.811115
599;-863;162;1062.927091
541;-820;237;1010.569147
458;-835;325;1006.287235
471;-796;274;964.6413841
587;-786;267;1016.687759
684;-843;189;1101.919235
685;-833;187;1094.569778
652;-784;220;1043.149079
676;-755;214;1035.759142
677;-763;225;1044.568332
711;-739;260;1057.942342
726;-716;291;1060.383421
732;-703;284;1053.892309
732;-701;258;1045.843679
743;-691;235;1041.515722
760;-665;209;1031.264273
752;-671;200;1027.494526
738;-657;231;1014.71868
726;-671;239;1017.073252
710;-696;257;1026.920153
719;-727;281;1060.401339
769;-733;279;1098.403842
798;-872;224;1203.064421
870;-1184;125;1474.578245
1207;-1414;229;1873.148686
1365;-1477;257;2027.511529
1229;-1489;49;1931.311213
1052;-1105;68;1527.204309
605;-874;225;1086.520133
225;-530;290;644.6898479
-233;-343;375;559.0733404
-593;-188;470;779.6749323
-828;-94;594;1023.355266
-1024;-179;690;1247.684656
-1025;-71;644;1212.601336
-1078;-35;597;1232.768429
-1080;-32;547;1211.046242
-718;-344;323;859.1792595
154;-767;254;822.5089665
940;-1008;270;1404.479975
1261;-1283;421;1847.552706
1236;-1352;294;1855.272487
877;-1316;59;1582.550473
1136;-1167;439;1686.744201
1024;-1122;362;1561.571004
819;-965;342;1311.087335
819;-965;342;1311.087335
746;-833;339;1168.471651
653;-814;363;1104.88642
613;-820;334;1076.905288
625;-834;298;1083.96725
628;-822;298;1076.509173
602;-808;277;1044.986603
567;-827;246;1032.440797
581;-802;224;1015.352648
617;-744;251;998.6120368
620;-747;251;1002.701351
662;-755;190;1021.943736
707;-745;156;1038.850326
734;-734;137;1047.034383
727;-755;137;1057.035004
794;-722;136;1081.765224
824;-715;113;1096.799891
819;-806;77;1151.662277
886;-898;156;1271.116045
822;-1020;101;1313.881654
778;-1054;27;1310.316374
739;-1081;6;1309.472413
501;-1055;136;1175.806957
-167;-1346;687;1520.386135
-597;-1562;1180;2046.619896
-609;-1554;1197;2053.924536
-631;-1424;1053;1880.092019
-559;-1180;824;1543.974417
-442;-903;599;1170.287999
-287;-610;411;789.550505
-151;-345;275;466.3164162
-38;-126;168;213.4104027
98;55;77;136.2277505
294;193;-1;351.6902046
523;141;-30;542.5034562
807;-82;-22;811.4536339
802;-739;263;1121.82619
1421;-1304;422;1974.269738
1426;-1358;113;1972.411975
1233;-1385;1;1854.323327
996;-1282;94;1626.153744
1078;-1342;613;1827.243005
1250;-1316;379;1854.183648
952;-1301;135;1617.754617
782;-977;230;1272.380839
817;-677;340;1114.189391
861;-567;289;1070.668483
792;-694;242;1080.49248
674;-768;223;1045.862802
610;-814;230;1042.878708
591;-787;259;1017.708701
598;-786;257;1020.514086
611;-796;285;1043.150037
635;-822;287;1077.626095
629;-945;226;1157.472246
704;-1009;222;1250.192385
788;-1062;219;1340.428663
1069;-1237;287;1659.909335
1238;-1327;280;1836.293277
1393;-1325;218;1934.837978
1286;-1156;167;1737.245233
900;-1032;274;1396.45981
900;-1032;274;1396.45981
719;-736;206;1049.329786
718;-148;-20;733.367575
729;234;-98;771.8814676
597;342;-90;693.8825549
433;197;-47;478.024058
270;-118;20;295.3370955
111;-555;258;622.0209
-135;-978;666;1190.909316
-406;-1417;785;1670.01497
-534;-1713;850;1985.453349
-663;-1876;1159;2302.656292
-648;-1958;1314;2445.45783
696;-1195;358;1428.497462
631;-1369;315;1539.982792
554;-1108;220;1258.165331
495;-924;206;1068.286946
482;-825;281;995.9467857
492;-705;372;936.7352881
531;-753;304;970.2504831
646;-805;233;1058.125701
624;-816;243;1055.595093
605;-807;220;1032.314874
623;-828;210;1057.266759
641;-807;249;1060.250442
665;-777;306;1067.515808
679;-771;312;1073.69735
696;-783;307;1091.67486
686;-758;331;1074.579453
658;-749;364;1061.34867
631;-771;326;1048.273819
600;-791;265;1027.572868
604;-775;263;1017.157805
630;-741;280;1012.117088
687;-731;264;1037.316731
733;-780;238;1096.509462
780;-924;229;1230.69777
1089;-1137;262;1596.036967
1415;-1380;238;1990.796072
1420;-1437;164;2026.885542
1277;-1312;-11;1830.899779
890;-1123;113;1437.357993
444;-813;262;962.6780355
40;-522;349;629.1939288
-353;-319;433;643.318739
-637;-241;573;890.0443809
-763;-173;616;995.7680453
-859;-180;680;1110.261681
-899;-218;632;1120.334325
-891;-211;608;1099.120558
-802;-169;503;961.6517041
-831;-150;431;948.0622342
-555;-346;343;738.5052471
160;-648;220;702.7830391
1034;-986;133;1434.935887
1314;-1346;374;1917.860266
1344;-1393;350;1967.049821
1031;-1368;159;1720.367984
785;-1201;82;1437.132562
953;-1030;265;1428.05252
834;-1005;222;1324.713177
745;-934;216;1214.099255
745;-934;216;1214.099255
688;-841;226;1109.820256
662;-772;304;1061.434878
638;-794;291;1059.321009
630;-812;276;1064.152245
635;-816;272;1069.14218
630;-797;265;1049.920949
627;-775;218;1020.430301
615;-768;195;1003.032402
647;-728;213;996.976429
694;-700;190;1003.860548
757;-712;177;1054.192582
747;-721;166;1051.382899
716;-739;185;1045.46736
723;-726;178;1039.946633
742;-780;204;1095.709816
753;-781;243;1111.763914
689;-766;198;1049.133452
663;-805;119;1049.645178
648;-838;74;1061.896417
730;-842;159;1125.675353
840;-938;205;1275.722932
898;-1044;209;1392.846366
775;-1134;248;1395.738156
226;-1432;670;1597.059799
-272;-1649;1069;1983.921873
-449;-1638;1077;2011.112627
-630;-1481;997;1893.216839
-653;-1209;815;1597.596632
-595;-905;571;1224.373717
-483;-593;348;840.263054
-334;-286;157;466.9057721
-175;-26;17;177.7357589
-37;159;-29;165.8041013
163;226;-77;289.091681
435;150;-183;495.1908723
504;-142;-88;530.9651589
1065;-705;709;1460.79807
1553;-733;353;1753.199076
1752;-1196;356;2150.966294
1375;-1201;125;1829.931966
1044;-1174;163;1579.487575
1035;-1506;161;1834.44324
894;-1482;8;1730.787104
724;-1097;92;1317.592122
840;-672;216;1097.196427
846;-608;270;1076.234175
766;-730;250;1087.269976
709;-771;273;1082.428289
650;-820;248;1075.362265
606;-830;232;1053.546392
593;-794;253;1022.787368
603;-713;292;978.3874488
629;-728;305;1009.281923
634;-797;269;1053.340401
629;-875;208;1097.51082
699;-957;185;1199.44779
782;-1139;191;1394.74944
1010;-1279;240;1647.282914
1221;-1413;180;1876.115668
1466;-1459;129;2072.312235
1403;-1204;140;1854.083331
1403;-1204;140;1854.083331
889;-1104;289;1446.602226
650;-791;247;1053.180896
740;-190;39;764.9973856
720;182;5;742.66345
611;314;25;687.4169041
475;261;57;544.9724764
338;-3;58;342.9533496
178;-338;193;427.9918224
-44;-732;466;868.8590219
-245;-1154;719;1381.557816
-371;-1523;790;1755.354665
-398;-1709;819;1936.45191
-435;-1853;1005;2152.407722
-381;-1946;722;2110.298794
790;-997;-145;1280.286687
565;-1142;160;1284.129666
420;-985;217;1092.572194
396;-864;249;982.5034351
454;-703;379;918.6762215
576;-703;361;977.9089937
683;-807;218;1079.47302
607;-838;208;1055.441614
613;-792;177;1017.035889
652;-798;175;1045.243034
677;-775;230;1054.444878
687;-757;278;1059.387559
714;-725;315;1065.197634
727;-738;300;1078.504984
695;-748;343;1077.115593
669;-759;338;1066.717395
671;-760;315;1061.633647
668;-741;248;1028.012159
661;-732;230;1012.741329
676;-728;261;1027.171359
732;-755;265;1084.469456
778;-863;213;1181.279814
928;-1089;70;1432.482112
1164;-1413;229;1844.96775
1382;-1556;212;2091.890054
1444;-1520;87;2098.357691
1271;-1223;129;1768.561845
700;-891;216;1153.489055
226;-613;293;716.0265358
-115;-448;364;588.5787968
-388;-419;474;742.146212
-550;-298;524;816.0147057
-724;-284;562;959.5186293
-875;-283;597;1096.413699
-980;-309;579;1179.45835
-1016;-293;544;1189.134559
-969;-256;413;1084.004613
-862;-116;351;937.9237709
-813;-161;225;858.7869352
-241;-413;116;492.0426811
662;-824;234;1082.578404
1241;-1047;371;1665.512234
1551;-1257;568;2075.638215
1390;-1344;432;1981.176418
992;-1336;23;1664.178176
708;-1225;-87;1417.553526
970;-1081;308;1484.696939
970;-1081;308;1484.696939
829;-1010;244;1329.239256
733;-927;225;1203.014131
653;-842;237;1091.577757
628;-789;291;1049.564672
605;-801;301;1047.963263
592;-813;283;1044.759302
