"AXX","AYY","AZZ","ACC_TOTAL"
"-180","-760","502","928.4417052244045"
"-369","-1202","861","1523.9048526728957"
"-450","-1577","1023","1932.8626438523768"
"-468","-1657","1111","2049.1446996246996"
"-441","-1468","1245","1974.7227653521393"
"-306","-1445","1173","1886.1574695661018"
"694","-1181","347","1413.0838616302997"
"822","-1522","84","1731.8267811764547"
"662","-1207","110","1381.011585758787"
"526","-1021","170","1161.0413429331447"
"467","-946","200","1073.7807038683457"
"468","-852","290","1014.4101734505623"
"473","-779","334","970.6317530351045"
"531","-785","368","1016.6661202184324"
"603","-845","339","1092.0416658717743"
"578","-860","269","1070.5349130224572"
"606","-842","212","1058.8408756749052"
"658","-821","229","1076.7757426688252"
"642","-807","269","1065.726981923607"
"653","-807","269","1072.3893882354487"
"673","-785","282","1071.7639665523375"
"691","-757","285","1063.8397435704308"
"714","-719","295","1055.3587067912028"
"750","-631","359","1043.8112856259029"
"694","-703","260","1021.491556499612"
"717","-689","141","1004.3360991222012"
"757","-659","106","1009.2403083507911"
"769","-663","167","1028.98930995419"
"769","-675","229","1048.5356455552667"
"816","-687","242","1093.795684760184"
"899","-795","232","1222.3133804389117"
"1120","-1284","209","1716.6062448913553"
"1472","-1662","82","2221.655238780311"
"1504","-1693","-123","2267.9052008406347"
"1333","-1405","-188","1945.83092790715"
"714","-1028","68","1253.476764842492"
"295","-572","287","704.6829074129726"
"-192","-428","513","695.1381157726859"
"-445","-338","647","854.9140307656671"
"-647","-207","684","964.0093360543766"
"-804","-247","716","1104.5727680872817"
"-802","-249","664","1070.5610678518065"
"-802","-246","642","1056.3541072954656"
"-839","-252","593","1057.8629400825043"
"-780","-262","462","943.656717244147"
"-650","-200","386","781.982096981766"
"-649","-291","299","771.5458508734267"
"-189","-694","248","760.8291529640541"
"548","-1003","164","1154.6466992114947"
"1145","-1251","335","1728.6558361918082"
"1366","-1332","436","1957.1090925137514"
"1131","-1382","273","1806.5475360476955"
"1586","-1155","31","1962.2390272339403"
"913","-1161","31","1477.3120861889677"
"817","-751","198","1127.2506376134813"
"800","-762","227","1127.9064677534216"
"761","-735","271","1092.1478837593377"
"765","-709","281","1080.216182067275"
"712","-714","265","1042.5761363085192"
"712","-730","270","1054.8668162379552"
"693","-740","214","1036.1684226031982"
"703","-731","177","1029.513962994189"
"701","-740","193","1037.4246960623213"
"707","-727","208","1035.2014296744378"
"715","-710","230","1033.5497085288157"
"731","-702","205","1034.0164408750957"
"749","-711","189","1049.8776119148365"
"789","-670","179","1050.4579953525033"
"798","-643","173","1039.318045643392"
"800","-671","157","1055.8835163028164"
"827","-675","175","1081.7481222539745"
"808","-664","136","1054.635482050552"
"822","-668","83","1062.4485869913894"
"800","-798","76","1132.5104856026721"
"857","-930","72","1266.7016223246894"
"986","-982","133","1397.9302557710096"
"970","-1005","174","1407.5514200198868"
"893","-1067","225","1409.4548591565465"
"618","-984","446","1244.6268517109856"
"24","-1280","825","1523.023637374023"
"24","-1280","825","1523.023637374023"
"-306","-1392","999","1740.4887244679294"
"-586","-1383","983","1795.0972118523275"
"-698","-1227","798","1621.5847187242484"
"-686","-967","585","1322.0854737875309"
"-613","-669","376","982.1944817601044"
"-485","-389","206","654.9671747500023"
"-322","-162","66","366.4478134741699"
"-165","-1","8","165.19685227025363"
"65","94","-53","125.9761882261882"
"367","69","-171","410.7200993377363"
"497","-128","69","517.8358813369348"
"657","-1084","485","1357.1772176101395"
"1349","-1116","315","1778.8990977568121"
"1596","-1314","400","2105.6618911876617"
"1274","-1224","291","1790.511937966346"
"931","-1264","128","1575.068569935925"
"1085","-1343","78","1728.2818057249808"
"907","-1306","24","1590.2392901698788"
"769","-1049","95","1304.1422468427284"
"722","-788","264","1100.8741980807797"
"747","-636","293","1023.8915958244799"
"813","-577","271","1033.1209996897749"
"771","-689","213","1055.7135028027253"
"707","-777","181","1065.9920262365943"
"670","-801","187","1060.8817087687014"
"656","-773","204","1034.1571447318827"
"675","-742","259","1035.987451661457"
"688","-754","275","1057.111630812943"
"681","-812","258","1090.7194873110134"
"714","-872","213","1146.9738445143375"
"785","-946","205","1246.2608073754066"
"879","-1002","207","1348.886207209489"
"1170","-1266","224","1738.341738554304"
"1368","-1418","149","1975.9425598938851"
"1555","-1398","59","2091.8675866316203"
"1277","-1092","122","1684.6593127395224"
"773","-912","243","1219.9680323680616"
"634","-634","87","900.8224020305001"
"616","-61","60","621.9139811903251"
"558","350","55","660.9757938079125"
"366","415","46","555.2449909724535"
"121","177","110","240.9771773425857"
"-57","-260","214","341.5333073069155"
"-252","-696","530","910.3955184423966"
"-424","-1121","794","1437.6553829064878"
"-475","-1433","850","1732.5166665865006"
"-394","-1461","883","1751.9834474103916"
"-434","-1644","1111","2031.1112721857462"
"-37","-1498","870","1732.706841909502"
"776","-1263","112","1486.5695409229936"
"1023","-1116","43","1514.540854516642"
"777","-1036","201","1310.5060091430332"
"643","-901","247","1134.1335900148624"
"605","-826","243","1052.3069894284652"
"559","-755","282","980.8312800884768"
"458","-715","280","894.0855663749415"
"350","-688","224","803.7536936151522"
"240","-741","243","815.9227904648822"
"396","-895","425","1066.9892220636532"
"699","-976","252","1226.6543930545392"
"666","-979","147","1193.1496134182"
"666","-979","147","1193.1496134182"
"608","-904","156","1100.552588475444"
"660","-821","229","1077.999072355816"
"706","-774","290","1087.0197790288823"
"710","-768","288","1084.8354713964693"
"729","-744","278","1078.0820933491104"
"729","-700","304","1055.39423913531"
"717","-686","284","1032.1535738445127"
"707","-685","230","1010.9272970891626"
"710","-693","171","1006.7720695370924"
"723","-688","197","1017.291501979644"
"747","-671","228","1029.6766482736218"
"778","-688","220","1061.6157496947753"
"783","-796","214","1136.8821398896193"
"819","-1057","165","1347.3065723880368"
"1139","-1356","224","1785.002240894952"
"1348","-1447","156","1983.7462035250376"
"1208","-1404","120","1856.0387926980407"
"1103","-1117","96","1572.7409195414227"
"684","-931","323","1199.5607529425095"
"303","-645","436","835.422049026718"
"-130","-527","505","741.3865388581047"
"-372","-357","474","700.3634770603047"
"-579","-274","504","815.0662549756308"
"-695","-237","485","880.0107953883293"
"-807","-217","466","956.814506578992"
"-890","-198","505","1042.2710779830745"
"-913","-161","494","1050.4884578137924"
"-975","-83","478","1089.0353529615097"
"-727","-305","388","878.6910719928819"
"24","-657","269","710.3421710696895"
"871","-982","192","1326.5854665267518"
"1264","-1386","382","1914.3186777545686"
"1333","-1365","296","1930.7330214195852"
"1004","-1271","200","1632.010110262801"
"870","-906","133","1263.1013419357926"
"1042","-988","61","1437.2296267472364"
"839","-917","153","1252.2855105765618"
"765","-744","231","1091.8433953640056"
"756","-680","298","1059.5942619701184"
"768","-673","293","1062.3568138812873"
"738","-692","281","1049.9852379914682"
"714","-734","188","1041.1032609688627"
"706","-756","152","1045.5027498768236"
"684","-757","188","1037.4242140995168"
"696","-689","257","1012.5146912514406"
"719","-656","275","1011.3960648529338"
"732","-683","226","1026.347407070335"
"732","-714","185","1039.155907455662"
"746","-725","188","1057.111630812943"
"797","-679","203","1066.5172291154045"
"825","-682","221","1092.9730097307984"
"828","-729","226","1126.099906757833"
"870","-753","234","1174.165661225025"
"836","-939","95","1260.8100570664876"
"966","-1056","106","1435.1055710295323"
"1018","-1108","114","1508.9678591673185"
"995","-1089","151","1482.8172510461295"
"897","-1007","169","1359.124350455101"
"642","-837","339","1107.9954873554314"
"118","-1124","607","1282.8674912086594"
"-170","-1306","780","1530.6652148657458"
"-163","-1306","780","1529.903591733806"
"-534","-1327","996","1743.0149167462682"
"-682","-1215","969","1697.1476070159601"
"-693","-1045","861","1521.050623746626"
"-626","-851","658","1244.6047565391996"
"-526","-607","436","913.9042619443243"
"-405","-367","236","595.3234415005006"
"-292","-165","112","353.60005656108143"
"-164","-19","43","170.60480649735516"
"-18","48","23","56.18718715152058"
"151","29","61","165.41765322963568"
"390","-96","111","416.6977321752544"
"643","-297","171","728.6281630571248"
"616","-734","226","984.524250590101"
"658","-1387","494","1612.6899888075204"
"1349","-1045","181","1715.9798949871179"
