"AXX","AYY","AZZ","ACC_TOTAL"
"585","-655","342","942.4510597373213"
"717","-719","328","1067.0679453530595"
"675","-818","192","1077.7815177483792"
"633","-822","52","1038.7863110380306"
"678","-784","9","1036.5428114651127"
"746","-747","74","1058.3009968813221"
"764","-726","131","1062.0419012449556"
"756","-729","194","1067.99485017485"
"792","-638","233","1043.3585193978147"
"906","-515","161","1054.5055713461168"
"934","-504","142","1070.7642130740082"
"867","-581","173","1057.912567275765"
"826","-631","168","1052.9297222512052"
"801","-663","107","1045.2841718882"
"789","-674","73","1040.2528538773638"
"802","-669","98","1048.9847472675663"
"842","-641","104","1063.325444066867"
"889","-649","58","1102.218671589263"
"1061","-815","3","1337.8919986306817"
"1117","-1043","61","1529.4636314734653"
"1097","-1237","-63","1654.5534140667687"
"1058","-1191","-134","1598.6872739845026"
"851","-884","-69","1228.990642763402"
"851","-884","-69","1228.990642763402"
"388","-809","90","901.7344398435716"
"78","-693","271","748.1804595149489"
"-70","-570","378","687.5201815219681"
"-170","-525","447","710.1647696133623"
"-232","-491","485","728.1002678203051"
"-249","-459","493","718.1441359504372"
"-289","-488","472","737.8678743514994"
"-148","-478","400","640.6153291952979"
"49","-670","270","724.017264987514"
"456","-794","216","940.7592678257281"
"772","-800","236","1136.521007284951"
"811","-922","266","1256.4079751418326"
"967","-1481","384","1809.946408046382"
"1504","-1330","-197","2017.3559428122742"
"721","-1340","73","1523.407365086568"
"651","-875","185","1106.187597110002"
"747","-769","258","1102.693973865823"
"753","-702","281","1067.1335436579623"
"701","-773","114","1049.7266310806829"
"697","-792","86","1058.522082906162"
"730","-756","145","1060.8774670054972"
"716","-820","160","1100.2981414144078"
"741","-668","275","1034.8574781099087"
"886","-465","168","1014.6156907913459"
"942","-483","90","1062.4278799052668"
"877","-574","88","1051.8312602314118"
"821","-642","136","1051.0475726626269"
"805","-647","177","1047.8372965303345"
"799","-655","195","1051.404299021076"
"789","-661","188","1046.3202186711294"
"803","-662","185","1057.013717980992"
"816","-626","186","1045.1449660214605"
"820","-615","168","1038.6765617842736"
"844","-610","189","1058.3746973543916"
"764","-633","103","997.4938596302235"
"750","-685","100","1020.6493031399178"
"798","-672","92","1047.3070227970402"
"876","-666","150","1110.5998379254338"
"926","-759","167","1208.9028083348967"
"1025","-1025","100","1453.014108672039"
"1269","-1236","77","1773.1288729249209"
"1355","-1458","-166","1997.3344737424425"
"1238","-1295","-322","1820.2617943581631"
"714","-1139","-183","1356.6893527996747"
"121","-1275","-18","1280.8551830710605"
"-180","-1131","164","1156.9170238180438"
"-349","-1003","94","1066.1360138368836"
"-482","-713","-29","861.1236844960195"
"-459","-365","-97","594.4030619032847"
"-318","-147","-151","381.4891872648555"
"-252","-113","-6","276.24083695210595"
"-130","-177","138","259.37039152532424"
"45","-311","283","422.88887429205323"
"205","-618","387","757.4417469350366"
"105","-1062","708","1280.6767742096365"
"258","-1496","1374","2047.548778417745"
"1149","-479","1182","1716.6146917698218"
"1128","-815","1271","1884.688303141928"
"895","-951","71","1307.8482327854406"
"1023","-901","-326","1401.6440346963989"
"1009","-901","-326","1391.4589465737033"
"818","-1034","145","1326.387952297517"
"776","-774","215","1116.905098922912"
"741","-779","128","1082.7308068028728"
"728","-796","4","1078.7103411018177"
"845","-637","-25","1058.4984648075783"
"907","-584","43","1079.6082622877616"
"869","-657","95","1093.5424088712791"
"804","-714","90","1079.0329003325153"
"777","-728","47","1065.7964158318416"
"774","-717","41","1055.8626804655992"
"764","-709","44","1043.2224115690767"
"764","-695","35","1033.414727977108"
"766","-687","-4","1028.951407987763"
"759","-719","-25","1045.7853508249195"
"789","-724","-7","1070.862269388552"
"831","-714","15","1095.710728249021"
"823","-769","15","1126.4612731914044"
"833","-831","29","1176.9838571535295"
"987","-939","165","1372.2663735587198"
"1051","-978","171","1445.7959745413598"
"1024","-971","223","1428.6868096262385"
"899","-844","585","1364.8303923931355"
"633","-802","872","1343.2337845661864"
"379","-872","957","1349.0270568079798"
"295","-721","955","1232.432959637156"
"202","-655","787","1043.6464918735653"
"108","-609","429","752.7190711015631"
"-4","-540","189","572.1337256271474"
"-42","-530","8","531.721731735689"
"-35","-603","-131","618.0574406962511"
"12","-754","-305","813.4402252163339"
"131","-867","-424","973.974332310662"
"277","-923","-443","1060.6163302533107"
"387","-949","-272","1060.3556007302457"
"420","-1324","-174","1399.8757087684605"
"659","-1233","-49","1398.9177960123318"
"1001","-1334","-238","1684.6961150308384"
"1189","-1150","-482","1722.9466039317642"
"829","-1126","-216","1414.8402736704945"
"579","-915","26","1083.116798872587"
"560","-730","185","938.4694987052056"
"604","-652","340","951.58814620612"
"695","-712","272","1031.4809741337938"
"664","-819","110","1060.0740540169822"
"646","-799","61","1029.2900465855093"
"704","-768","87","1045.4707073849559"
"727","-784","121","1076.0232339498993"
"747","-773","155","1086.0768849395515"
"779","-703","218","1071.7154473086593"
"817","-622","255","1058.0160679309176"
"826","-641","244","1073.6354129777949"
"837","-631","222","1071.45415207558"
"823","-622","202","1051.1978881257326"
"801","-633","153","1032.3269830823954"
"792","-644","127","1028.6539748622954"
"778","-646","89","1015.1458023358024"
"775","-646","83","1012.3388760686809"
"804","-651","96","1038.9576507249947"
"787","-726","118","1077.2042517554412"
"852","-765","84","1148.122380236532"
"852","-765","84","1148.122380236532"
"895","-983","89","1332.3794504569635"
"1090","-1283","155","1690.6253280960864"
"1178","-1379","-44","1814.1832873224248"
"1121","-1200","-155","1649.4441487968"
"805","-962","-85","1257.2565370679129"
"433","-809","76","920.7312311418572"
"128","-726","231","772.5419082483487"
"-68","-564","363","674.1579933517069"
"-274","-465","529","755.7393730645506"
"-404","-364","603","811.9858373149128"
"-428","-310","603","801.8060862827122"
"-426","-392","580","819.4754419749258"
"-376","-444","410","711.7668157479667"
"-219","-522","259","622.5158632516926"
"321","-700","77","773.9315215185385"
"790","-887","24","1188.0425076570282"
"930","-1125","189","1471.817244089768"
"921","-1149","218","1488.6121052846506"
