"AXX","AYY","AZZ","ACC_TOTAL"
"684","-773","169","1045.918734892917"
"682","-774","169","1045.3520937942392"
"680","-770","168","1040.924589007292"
"683","-772","167","1044.204003056874"
"681","-770","168","1041.578129570701"
"682","-769","170","1041.8181223227018"
"684","-769","169","1042.9659630112576"
"683","-769","169","1042.3104144159743"
"689","-767","163","1043.829008985667"
"685","-770","168","1044.1977782010456"
"685","-765","165","1040.0360570672538"
"692","-765","160","1043.8816982781143"
"692","-765","153","1042.8317218036666"
"686","-769","153","1041.8090036086269"
"674","-769","156","1034.3949922539261"
"667","-766","157","1027.7616455190378"
"674","-764","154","1030.382453266747"
"681","-776","161","1044.9200926386668"
"668","-784","170","1043.925284682769"
"644","-798","190","1042.8998034327171"
"626","-802","235","1044.1767091828854"
"634","-804","266","1057.8884629298118"
"614","-816","268","1055.7821745038132"
"563","-835","215","1029.7664783823564"
"488","-878","158","1016.8539718169959"
"398","-877","166","977.2865495851255"
"368","-872","218","971.2527992237655"
"466","-864","305","1027.9479558810358"
"531","-898","271","1077.871049801413"
"571","-906","228","1094.9251115943957"
"578","-883","240","1082.2998660260473"
"585","-845","213","1049.5803923473418"
"596","-835","189","1043.1500371471018"
"633","-821","162","1049.273081709428"
"674","-791","168","1052.7017621339864"
"703","-767","193","1058.18098641017"
"726","-729","220","1052.10123087087"
"741","-714","231","1054.6269482618013"
"742","-714","227","1054.4614739287538"
"752","-667","217","1028.3394381234243"
"783","-651","170","1032.3710573238675"
"806","-614","109","1019.0745801951887"
"813","-634","117","1037.600115651497"
"807","-634","143","1036.172765517411"
"796","-644","158","1036.0096524646863"
"795","-649","169","1040.0898999605756"
"786","-653","160","1034.3137821763762"
"812","-663","152","1059.2530387022734"
"860","-693","146","1114.0758502005149"
"873","-809","154","1200.135825646414"
"920","-1023","115","1380.6353609842101"
"1211","-1364","6","1824.0211073340133"
"1310","-1426","-109","1939.44760176706"
"1088","-1355","-54","1738.587070008287"
"906","-915","41","1288.3097453640564"
"339","-702","339","850.0858780146863"
"-75","-507","462","690.0130433549789"
"-304","-372","501","694.118865901223"
"-478","-439","560","857.2076761205536"
"-473","-366","531","799.7787193968092"
"-480","-362","537","806.1097940107167"
"-419","-403","519","779.3144423145255"
"-358","-464","465","748.1209795213606"
"-95","-615","248","669.8910359155435"
"569","-867","65","1039.0741070780275"
"944","-1122","146","1473.5453844384976"
"951","-1149","243","1511.1753703657296"
"770","-1091","177","1347.0374901983982"
"755","-1565","130","1742.455164416003"
"1103","-1263","115","1680.7745238431"
"859","-1035","293","1376.5736449605592"
"809","-813","286","1182.0516063184382"
"789","-806","209","1147.0998212884526"
"756","-799","177","1114.1211783284616"
