"AXX","AYY","AZZ","ACC_TOTAL"
"706","-753","178","1047.439258382079"
"711","-748","181","1047.7528334488054"
"714","-744","183","1047.2922228299035"
"719","-754","174","1056.292099752715"
"728","-750","166","1058.3194224807555"
"729","-729","168","1044.5601945316507"
"736","-714","173","1039.913938746856"
"753","-709","177","1049.294524907092"
"750","-728","172","1059.2771119966674"
"749","-746","151","1067.8567319636095"
"774","-746","128","1082.5784036271923"
"863","-773","73","1160.8733781080518"
"933","-937","23","1322.4927220971765"
"1124","-1070","-58","1552.9455882290274"
"1237","-1123","2","1670.7190068949355"
"944","-1040","33","1404.9288238199115"
"464","-772","174","917.3636138413165"
"-77","-717","372","811.4197434127419"
"-78","-605","468","768.8517412349405"
"-218","-637","578","887.3426621097399"
"-220","-575","499","792.480914596686"
"-221","-546","300","661.0272309065641"
"-118","-436","287","535.1532490791773"
"-477","-536","332","790.600404755778"
"46","-605","265","662.0921386030799"
"547","-1010","341","1198.1610910057127"
"758","-1021","331","1313.9885844252985"
"1399","-1530","-346","2101.860366437314"
"686","-1391","-88","1553.4545374744637"
"535","-946","204","1105.7834326847187"
"528","-942","220","1102.0653338164666"
"650","-882","251","1124.0217969416785"
"660","-861","245","1112.1807407071929"
"691","-885","226","1145.3305199810227"
"656","-781","187","1036.9503363228155"
"673","-714","189","999.2226979007232"
"698","-721","204","1024.0415030651834"
"729","-729","166","1044.2403937791337"
"701","-763","146","1046.3680040979846"
"682","-779","141","1044.9143505570205"
"682","-779","141","1044.9143505570205"
"740","-711","143","1036.132230943522"
"836","-590","187","1040.1754659671608"
"877","-518","199","1037.812121725315"
"856","-559","126","1030.093685059762"
"809","-621","37","1020.5346637914853"
"817","-705","10","1079.1728313852234"
"809","-723","47","1086.010589266974"
"835","-761","52","1130.9509273173614"
"879","-821","12","1202.8408040967017"
"951","-965","146","1362.6965913217807"
"1134","-1063","-83","1556.5391096917547"
"1121","-1217","-306","1682.666336502873"
"1007","-1217","-407","1631.1918955168946"
"877","-913","-206","1282.6277714130472"
"343","-1115","313","1207.8257324630902"
"-187","-1371","1027","1723.1770077389033"
"-539","-1545","1339","2114.3478900124264"
"-677","-1509","1324","2118.581128963439"
"-654","-1341","1146","1881.3061951739808"
"-637","-1120","890","1565.9722219758562"
"-537","-806","748","1223.7275023468255"
"-403","-506","612","890.4992981468317"
"-274","-254","481","609.05911043182"
"-127","-98","396","427.25753357898793"
"-13","-1","314","314.2705840513872"
"76","46","260","274.75807540452746"
"189","80","178","271.67075661542964"
"305","121","77","337.03857346007146"
"450","98","-29","461.45964070544676"
"656","10","-125","667.8779828681284"
"837","-209","-348","930.2440539987342"
"-275","-1124","846","1433.4284076995266"
"883","-963","-333","1348.3126492026988"
"1462","-1220","117","1907.756011653482"
"1508","-963","290","1812.6039280548853"
"1059","-1119","73","1542.3913251830743"
"1092","-1284","-360","1723.5776744898967"
"1218","-1119","-431","1709.2238004427625"
"857","-999","-170","1327.1586190052792"
"837","-776","96","1145.408660697133"
"881","-666","155","1115.2318144672881"
"854","-685","256","1124.3117894961345"
"775","-720","236","1083.8454686900711"
"713","-764","150","1055.729605533538"
"733","-752","155","1061.5168392446726"
"694","-809","198","1084.1222255815992"
"633","-885","232","1112.5367409663377"
"597","-980","136","1155.5539796997803"
"678","-1208","52","1386.2366320365365"
"1028","-1459","-72","1786.2387858290392"
"1311","-1718","-271","2178.000459136774"
"1600","-1614","-448","2316.39806596362"
"1371","-1349","-1","1923.3936154620042"
"799","-1181","-24","1426.0918623987727"
"904","-608","-202","1108.0090252340005"
"739","-291","-201","819.2697968313003"
"714","-50","-260","761.5090281802311"
"644","76","-185","674.3419014120359"
"639","84","-73","648.6185319585003"
"665","-44","134","679.791879916199"
"665","-44","134","679.791879916199"
"705","-228","475","880.1329445032721"
"614","-478","801","1116.727809271355"
"600","-718","1126","1464.0355186948163"
"620","-986","1462","1869.2351376966997"
"653","-1039","1744","2132.4788392853984"
"445","-1539","1892","2479.155098012224"
"1243","-1143","1580","2312.552269679542"
"932","-1113","513","1539.6629501290208"
"535","-1114","311","1274.339829087987"
"403","-1015","255","1121.4539669553985"
"373","-946","130","1025.156085676713"
"438","-899","159","1012.5838236906612"
"505","-858","140","1005.380027651236"
"696","-838","98","1093.7385427971349"
"732","-787","157","1086.2053212905928"
"729","-746","179","1058.299579514232"
"695","-814","159","1082.0822519568464"
"704","-822","160","1094.0292500660116"
"629","-850","188","1074.004189935961"
"586","-883","175","1074.1089330230895"
"594","-856","151","1052.7929521040687"
"536","-891","105","1045.0846855638063"
"543","-896","126","1055.2445214261954"
"572","-875","162","1057.853014364472"
"588","-847","133","1039.6355130525312"
"599","-842","106","1038.749729241842"
"594","-826","108","1023.1207162402685"
"629","-806","122","1029.6411996418947"
"663","-788","163","1042.6322458086552"
"646","-806","172","1047.1561488144928"
"634","-793","129","1023.4480934566247"
"649","-800","136","1039.0846933720081"
"669","-812","145","1062.040488870363"
"700","-828","103","1089.124878055772"
"731","-887","81","1152.2547461390645"
