"AXX","AYY","AZZ","ACC_TOTAL"
"661","-783","120","1031.702476492133"
"651","-784","125","1026.6849565470413"
"649","-781","128","1023.4969467467893"
"639","-785","130","1020.5126162865406"
"626","-780","132","1008.8111815399352"
"629","-780","129","1010.288077728328"
"645","-784","130","1023.5140448474559"
"648","-805","139","1042.7128080157067"
"654","-805","155","1048.6972871138744"
"640","-803","179","1042.329122686304"
"653","-767","210","1028.9791057159518"
"650","-773","211","1031.7703232793624"
"623","-811","210","1044.006704959312"
"659","-835","221","1086.4377570758484"
"629","-839","215","1070.4144057326582"
"618","-826","225","1055.8527359437962"
"616","-814","222","1044.670282912269"
"612","-820","209","1044.3299287102711"
"624","-811","191","1040.9505271625544"
"611","-807","200","1031.780015313342"
"604","-815","197","1033.3682789789902"
"607","-817","186","1034.6661297249466"
"608","-807","195","1029.0471320595573"
"600","-812","192","1027.7198061728693"
"608","-814","185","1032.707606246802"
"610","-813","187","1033.4592396413127"
"615","-804","181","1028.3005397256193"
"629","-820","184","1049.7128178697258"
"625","-834","190","1059.3776474893173"
"595","-863","172","1062.2513826773773"
"575","-876","138","1056.90349606764"
"625","-893","178","1104.42654803296"
"666","-913","168","1142.518708818372"
"641","-1028","263","1239.691090554417"
"715","-1145","75","1351.9892751053908"
"652","-1151","-29","1323.1575869865237"
"419","-1031","-25","1113.1697983686047"
"198","-875","75","900.2521868898737"
"17","-783","211","811.1097336365776"
"17","-783","307","841.2056823393432"
"-98","-687","317","762.9298788224249"
"-110","-577","306","662.3178995014404"
"-56","-627","373","731.7062252024374"
"78","-690","539","879.0364042518376"
"299","-654","631","956.7016253775259"
"408","-714","529","977.8041726235372"
"303","-863","310","965.7525563000079"
"304","-1017","49","1062.5939958422503"
"350","-1035","1","1092.5776860251174"
"873","-1163","-120","1459.142899102072"
"683","-1179","-64","1364.0476531265322"
"625","-971","95","1158.6591388324696"
"571","-919","195","1099.3757319497279"
"584","-907","188","1095.010958849271"
"578","-892","167","1075.9354069831516"
"596","-823","179","1031.7877688749757"
"589","-798","175","1007.1494427342946"
"641","-793","180","1035.4371057674146"
"624","-770","167","1005.0696493278464"
"634","-749","142","991.5245836589227"
"655","-803","152","1047.3480796755202"
"637","-792","144","1026.5325128801328"
"648","-773","173","1023.4070548906725"
"671","-768","170","1033.9076361068237"
"683","-785","152","1051.5788130235412"
"717","-797","156","1083.3438973843902"
"735","-783","164","1086.3747051547177"
"752","-764","164","1084.4795987016078"
"820","-783","120","1140.1267473399614"
"885","-765","33","1170.2730450625616"
"864","-892","-114","1247.0589400665872"
"691","-1092","41","1292.9137635588847"
"472","-1223","56","1312.116229607728"
"49","-1430","435","1495.501922432733"
"-44","-1484","630","1612.7901289380463"
"-222","-1430","683","1600.2102986795205"
"-271","-1288","692","1487.0268995549475"
"-276","-1099","623","1293.0993774648566"
"-230","-868","531","1043.2089915256674"
"-190","-703","444","852.9038632812023"
"-113","-543","347","654.237724378532"
"-6","-334","222","401.0935053076776"
"118","-92","109","185.11888072263184"
"244","45","5","248.16526751340527"
"386","30","-83","395.9608566512604"
"568","-82","-221","614.9707310108344"
"798","-963","210","1268.1770381141587"
"1112","-1222","60","1653.3081987336784"
"1490","-1107","143","1861.7190980381547"
"1332","-1140","127","1757.8262143909449"
"1029","-1590","-426","1941.2410978546689"
"1197","-1075","-588","1712.9442489468242"
"858","-972","-202","1312.1554785923809"
"886","-773","114","1181.3217173996252"
"819","-746","143","1117.0165620974471"
"734","-792","158","1091.322133927467"
"656","-834","163","1073.5273634146454"
"611","-835","229","1059.7108096079799"
"585","-839","178","1038.185917839382"
"609","-841","153","1049.5575258174274"
"655","-794","156","1041.055714167114"
"655","-794","156","1041.055714167114"
"641","-799","123","1031.7029611278626"
"656","-788","138","1034.5646427362574"
"603","-844","181","1052.9510909819126"
"586","-891","192","1083.5778698367737"
"638","-903","193","1122.3644684326032"
"732","-969","166","1225.7002080443651"
"709","-1339","116","1519.55848850908"
"1000","-1407","-8","1726.184520843586"
"1118","-1502","-160","1879.2360149805559"
"1116","-1372","-145","1774.5041560954428"
"1073","-1093","90","1534.3004920810004"
"654","-897","367","1169.193739292167"
"532","-622","213","845.7405039372302"
"498","-380","69","630.2102823661321"
"412","-229","-28","472.19593390879595"
"348","-129","-67","377.1392315843049"
"317","-108","-55","339.3788443612831"
"313","-148","5","346.26290589666115"
"296","-256","107","405.7104879097902"
"173","-506","230","582.1211214171841"
"59","-822","391","912.1655551488446"
"-33","-1212","518","1318.4676712001701"
"-110","-1442","610","1569.5744646240903"
"-132","-1491","785","1690.1863802551482"
"-917","-1765","1317","2385.4984804019473"
"562","-1133","-77","1267.0682696682134"
"539","-1204","176","1330.8316948434915"
"319","-1064","212","1130.840837607132"
"370","-992","173","1072.7968120758003"
"499","-918","257","1075.9990706315689"
"633","-892","236","1118.9499541981313"
"632","-863","161","1081.7180778742675"
"598","-780","148","993.9356115966466"
"587","-756","166","971.4221533401428"
"642","-773","113","1011.1686308425514"
"700","-766","117","1044.2437454924018"
"712","-782","200","1076.3215133035296"
"689","-795","216","1073.9655487956773"
"660","-799","193","1054.1584321154007"
"600","-831","188","1042.0676561529006"
"595","-833","226","1048.3272389859953"
"607","-840","237","1063.117114903151"
