"AXX","AYY","AZZ","ACC_TOTAL"
"1052","-1159","-213","1579.6689526606517"
"910","-1092","-340","1461.5621779452285"
"488","-1105","-184","1221.8940215910707"
"271","-1094","-7","1127.0873967887317"
"126","-1002","322","1059.983018731904"
"-236","-999","97","1031.070317679643"
"-233","-870","51","902.1030983208072"
"-297","-706","2","765.9301534735397"
"-245","-531","48","586.7623028109424"
"-186","-402","91","452.19575407117657"
"-131","-328","112","370.52530277971573"
"-43","-287","115","312.15861352844325"
"-43","-287","115","312.15861352844325"
"63","-289","88","308.6000648088072"
"176","-347","113","405.15922795858916"
"305","-493","184","608.2187106625379"
"-721","-1266","1112","1832.7959515450705"
"453","-1047","860","1428.6420125419804"
"1247","-446","895","1598.421095956882"
"1347","-1243","23","1833.0267319381896"
"1442","-1003","-289","1780.1387586365283"
"801","-986","-279","1300.6298474200876"
"887","-838","99","1224.2605931745088"
"810","-824","196","1171.9607501960122"
"731","-826","89","1106.5974877976182"
"652","-878","-18","1093.7604856640232"
"632","-867","-26","1073.2143308771085"
"671","-824","1","1062.6466957554612"
"678","-794","4","1044.0957810469306"
"671","-783","-8","1031.209968920006"
"681","-768","2","1026.4448353418707"
"670","-777","-3","1025.981481314356"
"639","-827","-1","1045.108128377155"
"660","-821","15","1053.5017797801768"
"674","-817","23","1059.3837831494307"
"689","-822","28","1072.934760365233"
"702","-852","29","1104.3319247400213"
"812","-865","46","1187.301562367371"
"1029","-921","165","1390.793658311685"
"1074","-1160","199","1593.3226289738059"
"1009","-1219","308","1612.1122789681865"
"830","-1088","543","1472.2408091069885"
"542","-1109","601","1372.8969371369433"
"608","-881","609","1231.5461826500864"
"344","-817","440","989.6590321924011"
"282","-625","314","754.1518414749115"
"193","-534","236","614.8991787277"
"113","-521","123","547.1188170772415"
"52","-561","32","564.3128564900857"
"-71","-664","-105","675.9896448911034"
"-112","-710","-222","752.281862070328"
"-91","-761","-330","834.447122351081"
"-13","-808","-404","903.4649965549302"
"202","-962","459","1084.8635858945584"
"333","-1501","-738","1705.4424645821389"
"703","-824","-224","1106.0565085021651"
"1042","-1432","-361","1807.403939356114"
"967","-1059","-102","1437.697464698328"
"509","-1044","88","1164.80084134585"
"528","-865","274","1049.8023623520762"
"521","-864","154","1020.6140308657333"
"614","-786","196","1016.4683959671348"
"674","-782","198","1051.1917046856868"
"628","-825","129","1044.8205587563828"
"635","-829","71","1046.6647027582424"
"665","-802","69","1044.1216404231836"
"632","-834","136","1055.2137224278313"
"612","-860","155","1066.8500363218816"
